TransactionID,AccountID,Type,Category,Subcategory,Amount,Date,Status,InvoiceNumber,RecipientID
T3784,2,Expense,Taxes,Taxes,2452.445,23/08/2023,Pending,INV-9135,NULL
T9921,2,Income,Shopify Store,Shopify Store,1554.19,18/01/2024,Cancelled,NULL,NULL
T8723,1,Income,Salary,Salary,2201.72,12/10/2023,Completed,NULL,NULL
T6631,1,Income,Freelance,Freelance,3222.86,24/09/2023,Cancelled,NULL,NULL
T4366,2,Expense,Sending Money to Family,Sending Money to Family,1295.03,05/01/2023,Completed,NULL,R0002
T6451,1,Expense,Food,Food,1887.035,17/10/2023,Pending,INV-9832,NULL
T2901,1,Expense,Beauty,Beauty,2085.1,19/08/2023,Pending,INV-9499,NULL
T7058,1,Expense,Utilities,Utilities,1241.975,21/09/2023,Completed,INV-1736,NULL
T4484,2,Expense,Sending Money to Family,Sending Money to Family,1109.165,21/07/2023,Cancelled,NULL,R0006
T3679,1,Expense,Groceries,Groceries,1004.39,20/04/2023,Cancelled,NULL,NULL
T5752,1,Expense,Transport,Transport,1768.025,28/03/2024,Completed,NULL,NULL
T2024,1,Income,Property Rental,Property Rental,2957.43,13/02/2023,Cancelled,NULL,NULL
T1571,1,Income,Property Rental,Property Rental,1251.52,16/01/2024,Completed,NULL,NULL
T4210,1,Income,Property Rental,Property Rental,1211.89,29/05/2023,Completed,NULL,NULL
T9727,2,Expense,Sending Money to Family,Sending Money to Family,1590.77,27/07/2023,Pending,INV-5180,R0009
T8912,2,Income,Shopify Store,Shopify Store,2747.84,30/03/2023,Completed,NULL,NULL
T1408,1,Income,Salary,Salary,2744,20/12/2023,Pending,NULL,NULL
T2212,2,Expense,Sending Money to Family,Sending Money to Family,1278.345,15/07/2023,Cancelled,NULL,R0009
T3512,1,Expense,Food,Food,1925.815,09/04/2023,Cancelled,NULL,NULL
T3143,2,Income,Bonus,Bonus,822.63,06/04/2024,Cancelled,NULL,NULL
T3258,2,Income,Property Rental,Property Rental,3487.95,20/06/2023,Cancelled,NULL,NULL
T2224,1,Income,Salary,Salary,3481.03,26/09/2023,Completed,NULL,NULL
T6492,2,Income,Salary,Salary,139.56,16/06/2023,Completed,NULL,NULL
T4296,1,Expense,Taxes,Taxes,717.225,18/07/2023,Completed,INV-7947,NULL
T2522,2,Expense,Utilities,Utilities,2434.495,10/11/2023,Pending,INV-9562,NULL
T7791,2,Income,Shopify Store,Shopify Store,2409.82,26/02/2023,Cancelled,NULL,NULL
T9621,1,Income,Shopify Store,Shopify Store,1806.21,26/07/2024,Completed,NULL,NULL
T1793,1,Income,Bonus,Bonus,2426.34,28/12/2023,Pending,NULL,NULL
T4396,1,Income,Shopify Store,Shopify Store,4925.98,09/06/2024,Pending,NULL,NULL
T8305,1,Income,Shopify Store,Shopify Store,4292.46,02/02/2023,Pending,NULL,NULL
T7312,2,Expense,Taxes,Taxes,1724.69,12/10/2023,Pending,INV-7491,NULL
T6038,2,Expense,Transport,Transport,2416.75,23/02/2024,Pending,INV-8619,NULL
T9744,2,Expense,Beauty,Beauty,1558.4,30/01/2024,Cancelled,INV-3025,NULL
T8236,1,Income,Salary,Salary,3780.2,02/10/2023,Completed,NULL,NULL
T1622,1,Expense,Utilities,Utilities,246.195,09/01/2023,Pending,NULL,NULL
T5964,2,Income,Shopify Store,Shopify Store,178.78,04/01/2023,Cancelled,NULL,NULL
T1631,2,Income,Property Rental,Property Rental,2385.73,04/02/2024,Pending,NULL,NULL
T7521,2,Expense,Food,Food,2236.4,10/04/2023,Completed,INV-2595,NULL
T1236,1,Income,Salary,Salary,2370.2,11/05/2024,Pending,NULL,NULL
T8537,2,Income,Freelance,Freelance,4898.21,07/08/2024,Cancelled,NULL,NULL
T3525,2,Income,Salary,Transfer In,1347.17,18/08/2024,Pending,NULL,NULL
T5031,1,Expense,Transport,Transport,650.32,18/10/2023,Cancelled,NULL,NULL
T3447,2,Expense,Food,Food,460.37,17/05/2023,Pending,INV-7187,NULL
T1866,1,Expense,Sending Money to Family,Sending Money to Family,1007.125,16/09/2023,Pending,INV-4968,R0001
T5473,1,Expense,Beauty,Beauty,2148.205,18/02/2023,Completed,INV-3913,NULL
T4298,2,Income,Property Rental,Property Rental,3653.04,11/04/2023,Cancelled,NULL,NULL
T2372,1,Income,Bonus,Bonus,2901.71,13/08/2024,Completed,NULL,NULL
T6140,2,Expense,Beauty,Beauty,1343.06,10/04/2024,Pending,NULL,NULL
T8489,2,Expense,Groceries,Groceries,1512.825,18/11/2023,Cancelled,NULL,NULL
T5792,2,Expense,Groceries,Groceries,162.665,23/08/2024,Pending,INV-9778,NULL
T4173,1,Income,Freelance,Transfer In,3031.72,17/04/2024,Completed,NULL,NULL
T9209,1,Income,Property Rental,Property Rental,4587.82,12/10/2023,Completed,NULL,NULL
T7226,2,Expense,Taxes,Taxes,2286.29,17/07/2024,Pending,INV-9819,NULL
T8162,2,Expense,Sending Money to Family,Sending Money to Family,1025.15,05/07/2024,Pending,NULL,R0005
T7152,2,Income,Salary,Salary,1203.51,06/03/2023,Pending,NULL,NULL
T3145,2,Income,Property Rental,Property Rental,2213.37,07/04/2024,Cancelled,NULL,NULL
T1561,2,Expense,Beauty,Beauty,265.65,31/05/2024,Pending,INV-3635,NULL
T7096,2,Expense,Utilities,Utilities,843.79,12/07/2023,Cancelled,INV-7963,NULL
T1899,2,Expense,Sending Money to Family,Sending Money to Family,1821.035,13/04/2023,Completed,NULL,R0010
T6434,1,Expense,Taxes,Taxes,1446.99,18/06/2024,Cancelled,NULL,NULL
T5530,1,Income,Freelance,Freelance,2929.96,02/03/2024,Cancelled,NULL,NULL
T5289,1,Income,Shopify Store,Shopify Store,4241.33,18/01/2024,Pending,NULL,NULL
T3196,2,Income,Freelance,Freelance,4869.1,24/06/2024,Completed,NULL,NULL
T4287,2,Expense,Transport,Transport,2478.81,13/08/2024,Cancelled,INV-3059,NULL
T9195,2,Income,Freelance,Freelance,383.87,19/03/2024,Cancelled,NULL,NULL
T2806,2,Expense,Utilities,Utilities,820.405,13/03/2024,Pending,NULL,NULL
T8800,2,Income,Salary,Transfer In,1952.82,12/07/2023,Cancelled,NULL,NULL
T7992,1,Expense,Transport,Transport,649.355,25/03/2023,Cancelled,NULL,NULL
T6371,1,Income,Property Rental,Property Rental,476.91,17/01/2024,Cancelled,NULL,NULL
T8002,2,Income,Freelance,Freelance,3166.7,23/06/2023,Pending,NULL,NULL
T9351,2,Income,Freelance,Freelance,4994.23,11/02/2024,Completed,NULL,NULL
T3035,2,Income,Shopify Store,Shopify Store,4740.48,25/09/2023,Pending,NULL,NULL
T1158,2,Expense,Sending Money to Family,Sending Money to Family,1331.005,27/01/2023,Completed,NULL,R0004
T1568,2,Income,Shopify Store,Shopify Store,2377.15,25/02/2023,Pending,NULL,NULL
T2982,1,Income,Salary,Salary,576.26,29/04/2024,Completed,NULL,NULL
T4697,2,Income,Bonus,Bonus,1746.42,10/02/2023,Completed,NULL,NULL
T3589,1,Expense,Transport,Transport,1379.155,22/08/2023,Cancelled,INV-4018,NULL
T9717,1,Income,Property Rental,Property Rental,513.4,25/06/2023,Cancelled,NULL,NULL
T6819,1,Income,Bonus,Bonus,3416.48,30/04/2023,Completed,NULL,NULL
T3809,1,Expense,Groceries,Groceries,809.56,15/07/2024,Completed,NULL,NULL
T4911,2,Income,Bonus,Bonus,3973.86,11/07/2024,Pending,NULL,NULL
T8376,2,Expense,Utilities,Utilities,985.34,19/07/2024,Cancelled,NULL,NULL
T8094,2,Expense,Food,Food,1961.195,11/06/2024,Pending,INV-2224,NULL
T9384,2,Income,Bonus,Bonus,2758.59,18/06/2024,Cancelled,NULL,NULL
T7904,1,Income,Bonus,Bonus,2769.63,01/03/2023,Cancelled,NULL,NULL
T4953,1,Income,Salary,Salary,1703.21,25/02/2023,Completed,NULL,NULL
T8375,2,Expense,Beauty,Beauty,956.775,06/03/2023,Completed,NULL,NULL
T4092,1,Income,Property Rental,Property Rental,4377.25,07/02/2024,Pending,NULL,NULL
T7949,1,Income,Bonus,Bonus,1006.9,31/01/2024,Cancelled,NULL,NULL
T1959,2,Expense,Beauty,Beauty,614.045,25/07/2023,Cancelled,NULL,NULL
T1166,1,Income,Freelance,Freelance,2935.37,03/04/2023,Pending,NULL,NULL
T4728,1,Income,Property Rental,Property Rental,2775.49,09/01/2023,Pending,NULL,NULL
T2626,1,Income,Bonus,Bonus,2527.47,14/05/2024,Pending,NULL,NULL
T8453,1,Expense,Food,Food,416.835,30/06/2023,Completed,INV-4642,NULL
T2925,2,Income,Freelance,Freelance,4809.58,02/05/2023,Completed,NULL,NULL
T8175,1,Income,Bonus,Bonus,1820.18,26/11/2023,Cancelled,NULL,NULL
T3343,2,Expense,Sending Money to Family,Sending Money to Family,1011.535,26/09/2023,Cancelled,INV-2303,R0005
T8259,2,Expense,Food,Food,1396.205,13/05/2023,Completed,INV-6154,NULL
T3825,2,Income,Bonus,Bonus,2422.25,26/11/2023,Completed,NULL,NULL
T9188,2,Income,Property Rental,Transfer In,711.76,09/05/2023,Completed,NULL,NULL
T9962,1,Expense,Sending Money to Family,Sending Money to Family,2248.025,29/04/2024,Cancelled,NULL,R0004
T9780,2,Income,Salary,Salary,3200.04,08/09/2023,Pending,NULL,NULL
T6429,2,Income,Property Rental,Property Rental,2002.97,30/01/2024,Completed,NULL,NULL
T2037,2,Income,Salary,Salary,3638.45,19/03/2024,Completed,NULL,NULL
T8725,2,Income,Salary,Salary,425.1,01/02/2024,Pending,NULL,NULL
T8060,2,Expense,Transport,Transport,171.55,13/02/2023,Pending,INV-6074,NULL
T9214,1,Income,Salary,Salary,3245.13,28/02/2024,Pending,NULL,NULL
T9745,1,Expense,Beauty,Beauty,1916.635,12/04/2024,Cancelled,INV-8631,NULL
T3336,1,Expense,Utilities,Utilities,69.565,04/10/2023,Completed,NULL,NULL
T8493,1,Expense,Beauty,Beauty,108.53,04/02/2023,Completed,INV-4029,NULL
T8300,1,Expense,Food,Food,75.99,26/12/2023,Pending,NULL,NULL
T9513,1,Expense,Taxes,Taxes,595.665,16/07/2023,Pending,INV-8770,NULL
T1686,2,Expense,Entertainment,Spotify,854.195,05/06/2023,Pending,INV-4448,NULL
T7132,1,Income,Bonus,Bonus,3342.03,20/07/2023,Pending,NULL,NULL
T3074,2,Income,Salary,Salary,4849.43,27/06/2023,Pending,NULL,NULL
T4792,1,Expense,Food,Food,376.655,19/11/2023,Cancelled,NULL,NULL
T4064,2,Expense,Transport,Transport,561.035,14/06/2023,Cancelled,INV-3457,NULL
T8756,1,Expense,Transport,Transport,1808.545,19/12/2023,Pending,INV-5600,NULL
T5473,1,Expense,Sending Money to Family,Sending Money to Family,2162.61,21/08/2024,Cancelled,INV-8266,R0009
T4360,1,Income,Freelance,Freelance,4057.76,20/04/2024,Pending,NULL,NULL
T9256,2,Expense,Sending Money to Family,Sending Money to Family,405.245,19/04/2023,Pending,INV-4413,R0010
T3599,1,Income,Freelance,Freelance,307.59,02/06/2023,Completed,NULL,NULL
T9842,2,Expense,Taxes,Taxes,1793.1,22/01/2024,Cancelled,NULL,NULL
T6313,1,Expense,Utilities,Utilities,764.975,16/08/2024,Completed,NULL,NULL
T7102,1,Income,Shopify Store,Shopify Store,3711.68,23/03/2024,Pending,NULL,NULL
